- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 1139.5,  렌더링 객체: 618,  렌더링 fake 객체: 1527
        시간 간격: 904.1,  렌더링 객체: 622,  렌더링 fake 객체: 1530
        시간 간격: 897.7,  렌더링 객체: 623,  렌더링 fake 객체: 1531
        시간 간격: 884.1,  렌더링 객체: 623,  렌더링 fake 객체: 1533
        시간 간격: 966.7,  렌더링 객체: 623,  렌더링 fake 객체: 1526
        시간 간격: 941.5,  렌더링 객체: 622,  렌더링 fake 객체: 1525
        시간 간격: 2915.2,  렌더링 객체: 627,  렌더링 fake 객체: 1527
        시간 간격: 898.3,  렌더링 객체: 628,  렌더링 fake 객체: 1531
        시간 간격: 928.1,  렌더링 객체: 628,  렌더링 fake 객체: 1550
        시간 간격: 1047.5,  렌더링 객체: 642,  렌더링 fake 객체: 1555
        시간 간격: 980.1,  렌더링 객체: 651,  렌더링 fake 객체: 1557
        시간 간격: 1022.9,  렌더링 객체: 649,  렌더링 fake 객체: 1555
        시간 간격: 1287.8,  렌더링 객체: 649,  렌더링 fake 객체: 1562
        시간 간격: 1050.3,  렌더링 객체: 649,  렌더링 fake 객체: 1562
        시간 간격: 952.6,  렌더링 객체: 654,  렌더링 fake 객체: 1557
        시간 간격: 2873.2,  렌더링 객체: 652,  렌더링 fake 객체: 1557
        시간 간격: 1201.8,  렌더링 객체: 653,  렌더링 fake 객체: 1554
        시간 간격: 942.9,  렌더링 객체: 652,  렌더링 fake 객체: 1556
        시간 간격: 976.8,  렌더링 객체: 652,  렌더링 fake 객체: 1574
        시간 간격: 1001.8,  렌더링 객체: 655,  렌더링 fake 객체: 1580
        시간 간격: 1027.6,  렌더링 객체: 654,  렌더링 fake 객체: 1580
        시간 간격: 1022.7,  렌더링 객체: 649,  렌더링 fake 객체: 1578
        시간 간격: 930.1,  렌더링 객체: 653,  렌더링 fake 객체: 1584
        시간 간격: 923.9,  렌더링 객체: 654,  렌더링 fake 객체: 1586
        시간 간격: 954.4,  렌더링 객체: 655,  렌더링 fake 객체: 1574
        시간 간격: 1069.7,  렌더링 객체: 655,  렌더링 fake 객체: 1571
        시간 간격: 967.5,  렌더링 객체: 658,  렌더링 fake 객체: 1578
        시간 간격: 972.5,  렌더링 객체: 660,  렌더링 fake 객체: 1591
        시간 간격: 987.4,  렌더링 객체: 660,  렌더링 fake 객체: 1589
        시간 간격: 1079.7,  렌더링 객체: 658,  렌더링 fake 객체: 1587
        시간 간격: 1261.5,  렌더링 객체: 648,  렌더링 fake 객체: 1587
        시간 간격: 2128.0,  렌더링 객체: 648,  렌더링 fake 객체: 1595
        시간 간격: 2704.7,  렌더링 객체: 646,  렌더링 fake 객체: 1597
        시간 간격: 1205.7,  렌더링 객체: 648,  렌더링 fake 객체: 1588
