- 일반 쿼드트리
    - 좌우 이동 (10000m 상공)
        
        [click P] 높이= 10000.000000
        [CULL] maxLevel=8, 시간=1081.5us, m_minNodePixels=8.0, 방문노드=7064, 절두체판정=5542, 객체검사=5020, 렌더객체=36642, fake노드=4745
        [CULL] maxLevel=8, 시간=1060.4us, m_minNodePixels=8.0, 방문노드=7071, 절두체판정=5542, 객체검사=5020, 렌더객체=36644, fake노드=4749
        [CULL] maxLevel=8, 시간=1078.0us, m_minNodePixels=8.0, 방문노드=7064, 절두체판정=5542, 객체검사=5020, 렌더객체=36615, fake노드=4745
        [CULL] maxLevel=8, 시간=1193.6us, m_minNodePixels=8.0, 방문노드=7064, 절두체판정=5542, 객체검사=5020, 렌더객체=36616, fake노드=4745
        [CULL] maxLevel=8, 시간=1085.3us, m_minNodePixels=8.0, 방문노드=7084, 절두체판정=5538, 객체검사=5023, 렌더객체=36644, fake노드=4751
        [CULL] maxLevel=8, 시간=1078.2us, m_minNodePixels=8.0, 방문노드=7089, 절두체판정=5538, 객체검사=5023, 렌더객체=36642, fake노드=4754
        [CULL] maxLevel=8, 시간=1191.2us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36628, fake노드=4751
        [CULL] maxLevel=8, 시간=1068.3us, m_minNodePixels=8.0, 방문노드=7087, 절두체판정=5538, 객체검사=5023, 렌더객체=36628, fake노드=4754
        [CULL] maxLevel=8, 시간=1094.4us, m_minNodePixels=8.0, 방문노드=7079, 절두체판정=5538, 객체검사=5023, 렌더객체=36575, fake노드=4748
        [CULL] maxLevel=8, 시간=1075.4us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36498, fake노드=4716
        [CULL] maxLevel=8, 시간=1198.6us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36480, fake노드=4716
        [CULL] maxLevel=8, 시간=1118.5us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36482, fake노드=4716
        [CULL] maxLevel=8, 시간=1124.3us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36480, fake노드=4716
        [CULL] maxLevel=8, 시간=1096.1us, m_minNodePixels=8.0, 방문노드=7086, 절두체판정=5538, 객체검사=5023, 렌더객체=36481, fake노드=4718
        [CULL] maxLevel=8, 시간=1109.3us, m_minNodePixels=8.0, 방문노드=7090, 절두체판정=5538, 객체검사=5023, 렌더객체=36495, fake노드=4721
        [CULL] maxLevel=8, 시간=1179.8us, m_minNodePixels=8.0, 방문노드=7090, 절두체판정=5538, 객체검사=5023, 렌더객체=36495, fake노드=4721
        [CULL] maxLevel=8, 시간=1072.4us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36464, fake노드=4716
        [CULL] maxLevel=8, 시간=1075.8us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36464, fake노드=4716
        [CULL] maxLevel=8, 시간=1102.9us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36465, fake노드=4716
        [CULL 평균] maxLevel=8, m_minNodePixels=8.0 평균시간=1087.8us (60프레임), 방문노드=7083, 객체검사=5023
        [CULL] maxLevel=8, 시간=1145.0us, m_minNodePixels=8.0, 방문노드=7090, 절두체판정=5538, 객체검사=5023, 렌더객체=36495, fake노드=4721
        [CULL] maxLevel=8, 시간=1106.4us, m_minNodePixels=8.0, 방문노드=7086, 절두체판정=5538, 객체검사=5023, 렌더객체=36482, fake노드=4718
        [CULL] maxLevel=8, 시간=1105.8us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36481, fake노드=4716
        [CULL] maxLevel=8, 시간=1060.6us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36481, fake노드=4716
        [CULL] maxLevel=8, 시간=1077.1us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36480, fake노드=4716
        [CULL] maxLevel=8, 시간=1072.4us, m_minNodePixels=8.0, 방문노드=7083, 절두체판정=5538, 객체검사=5023, 렌더객체=36521, fake노드=4716
        [CULL] maxLevel=8, 시간=1130.1us, m_minNodePixels=8.0, 방문노드=7079, 절두체판정=5538, 객체검사=5023, 렌더객체=36542, fake노드=4713
        [CULL] maxLevel=8, 시간=1081.5us, m_minNodePixels=8.0, 방문노드=7079, 절두체판정=5538, 객체검사=5023, 렌더객체=36580, fake노드=4748
        [CULL] maxLevel=8, 시간=1080.6us, m_minNodePixels=8.0, 방문노드=7087, 절두체판정=5538, 객체검사=5023, 렌더객체=36628, fake노드=4754
        [CULL] maxLevel=8, 시간=1197.6us, m_minNodePixels=8.0, 방문노드=7089, 절두체판정=5538, 객체검사=5023, 렌더객체=36648, fake노드=4755
        [CULL] maxLevel=8, 시간=1086.5us, m_minNodePixels=8.0, 방문노드=7084, 절두체판정=5538, 객체검사=5023, 렌더객체=36644, fake노드=4751
        [CULL] maxLevel=8, 시간=1115.5us, m_minNodePixels=8.0, 방문노드=7056, 절두체판정=5542, 객체검사=5020, 렌더객체=36630, fake노드=4740
        [CULL] maxLevel=8, 시간=1180.5us, m_minNodePixels=8.0, 방문노드=7064, 절두체판정=5542, 객체검사=5020, 렌더객체=36616, fake노드=4745
        [CULL] maxLevel=8, 시간=1415.0us, m_minNodePixels=8.0, 방문노드=7069, 절두체판정=5542, 객체검사=5020, 렌더객체=36631, fake노드=4748
        [CULL] maxLevel=8, 시간=1172.1us, m_minNodePixels=8.0, 방문노드=7074, 절두체판정=5542, 객체검사=5020, 렌더객체=36672, fake노드=4751
        [CULL] maxLevel=8, 시간=1097.7us, m_minNodePixels=8.0, 방문노드=7064, 절두체판정=5542, 객체검사=5020, 렌더객체=36642, fake노드=4745
        [CULL] maxLevel=8, 시간=1046.9us, m_minNodePixels=8.0, 방문노드=7060, 절두체판정=5542, 객체검사=5020, 렌더객체=36622, fake노드=4742
        [CULL] maxLevel=8, 시간=1065.2us, m_minNodePixels=8.0, 방문노드=7063, 절두체판정=5542, 객체검사=5020, 렌더객체=36631, fake노드=4743
        [CULL] maxLevel=8, 시간=1084.3us, m_minNodePixels=8.0, 방문노드=7065, 절두체판정=5542, 객체검사=5020, 렌더객체=36639, fake노드=4744
        [CULL] maxLevel=8, 시간=1090.5us, m_minNodePixels=8.0, 방문노드=7066, 절두체판정=5542, 객체검사=5020, 렌더객체=36728, fake노드=4745
        [CULL] maxLevel=8, 시간=1102.2us, m_minNodePixels=8.0, 방문노드=7165, 절두체판정=5519, 객체검사=4985, 렌더객체=36843, fake노드=4785
