전체 객체(폴리곤) 472691, 한 객체당 평균 31개 정점

fake 객체 개수: 16353, 한 객체 당 평균 9개 정점

폴리곤 정점 개수: 14842711,  fake 정점 개수: 143968

- 빌드 시간 차이
    
    평균 7만 마이크로 세컨드 → 0.07초 차이
    
    fake 있을 때: 250000마이크로 세크
    
    fale 없을 때: 180000마이크로 세크
    
- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 1832.6,  렌더링 객체: 612,  렌더링 fake 객체: 4820
        시간 간격: 836.2,  렌더링 객체: 610,  렌더링 fake 객체: 4854
        시간 간격: 858.6,  렌더링 객체: 612,  렌더링 fake 객체: 4858
        시간 간격: 728.4,  렌더링 객체: 613,  렌더링 fake 객체: 4847
        시간 간격: 1118.3,  렌더링 객체: 614,  렌더링 fake 객체: 4850
        시간 간격: 754.1,  렌더링 객체: 617,  렌더링 fake 객체: 4849
        시간 간격: 748.0,  렌더링 객체: 615,  렌더링 fake 객체: 4844
        시간 간격: 872.0,  렌더링 객체: 617,  렌더링 fake 객체: 4848
        시간 간격: 827.4,  렌더링 객체: 620,  렌더링 fake 객체: 4856
        시간 간격: 811.4,  렌더링 객체: 622,  렌더링 fake 객체: 4893
        시간 간격: 855.6,  렌더링 객체: 623,  렌더링 fake 객체: 4903
        시간 간격: 766.5,  렌더링 객체: 623,  렌더링 fake 객체: 4897
        시간 간격: 758.2,  렌더링 객체: 623,  렌더링 fake 객체: 4903
        시간 간격: 746.1,  렌더링 객체: 624,  렌더링 fake 객체: 4896
        시간 간격: 780.8,  렌더링 객체: 627,  렌더링 fake 객체: 4906
        시간 간격: 873.4,  렌더링 객체: 628,  렌더링 fake 객체: 4909
        시간 간격: 824.1,  렌더링 객체: 626,  렌더링 fake 객체: 4946
        시간 간격: 763.3,  렌더링 객체: 642,  렌더링 fake 객체: 4963
        시간 간격: 3330.7,  렌더링 객체: 647,  렌더링 fake 객체: 4961
        시간 간격: 1100.6,  렌더링 객체: 651,  렌더링 fake 객체: 4968
        시간 간격: 768.7,  렌더링 객체: 649,  렌더링 fake 객체: 4979
        시간 간격: 777.1,  렌더링 객체: 649,  렌더링 fake 객체: 4983
        시간 간격: 799.9,  렌더링 객체: 654,  렌더링 fake 객체: 5037
        시간 간격: 787.4,  렌더링 객체: 654,  렌더링 fake 객체: 5030
        시간 간격: 826.5,  렌더링 객체: 652,  렌더링 fake 객체: 5027
        시간 간격: 783.3,  렌더링 객체: 655,  렌더링 fake 객체: 5035
        시간 간격: 1205.8,  렌더링 객체: 652,  렌더링 fake 객체: 5040
        시간 간격: 887.2,  렌더링 객체: 654,  렌더링 fake 객체: 5088
        시간 간격: 1319.9,  렌더링 객체: 653,  렌더링 fake 객체: 5067
        시간 간격: 755.5,  렌더링 객체: 653,  렌더링 fake 객체: 5071
        시간 간격: 738.8,  렌더링 객체: 649,  렌더링 fake 객체: 5060
        시간 간격: 860.9,  렌더링 객체: 653,  렌더링 fake 객체: 5067
        시간 간격: 1038.1,  렌더링 객체: 654,  렌더링 fake 객체: 5091
        시간 간격: 823.9,  렌더링 객체: 655,  렌더링 fake 객체: 5104
        시간 간격: 769.2,  렌더링 객체: 657,  렌더링 fake 객체: 5093
        시간 간격: 873.5,  렌더링 객체: 658,  렌더링 fake 객체: 5123
        시간 간격: 940.6,  렌더링 객체: 660,  렌더링 fake 객체: 5118
        시간 간격: 1240.6,  렌더링 객체: 658,  렌더링 fake 객체: 5122
        시간 간격: 769.7,  렌더링 객체: 648,  렌더링 fake 객체: 5113
        시간 간격: 821.4,  렌더링 객체: 648,  렌더링 fake 객체: 5121
        시간 간격: 813.2,  렌더링 객체: 647,  렌더링 fake 객체: 5150
