[줌인/줌아웃 비교]
- 레벨 5
    
    [CULL] maxLevel=5, 시간=252.8us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=606, fake노드=0
    [CULL] maxLevel=5, 시간=216.5us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=272, fake노드=0
    [CULL] maxLevel=5, 시간=198.3us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=51, fake노드=0
    [CULL] maxLevel=5, 시간=196.7us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=41, fake노드=0
    [CULL] maxLevel=5, 시간=203.8us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=51, fake노드=0
    [CULL] maxLevel=5, 시간=194.7us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=40, fake노드=0
    [CULL] maxLevel=5, 시간=181.8us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=24, fake노드=0
    [CULL] maxLevel=5, 시간=205.9us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=12, fake노드=0
    [CULL] maxLevel=5, 시간=236.6us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=11, fake노드=0
    [CULL] maxLevel=5, 시간=218.1us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=3, fake노드=0
    [CULL] maxLevel=5, 시간=205.7us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=10, fake노드=0
    [CULL] maxLevel=5, 시간=185.0us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=2, fake노드=0
    [CULL] maxLevel=5, 시간=179.7us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=1, fake노드=0
    [CULL] maxLevel=5, 시간=207.0us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=1, fake노드=0
    [CULL] maxLevel=5, 시간=198.7us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=8, fake노드=0
    [CULL] maxLevel=5, 시간=318.3us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=12, fake노드=0
    [CULL] maxLevel=5, 시간=190.2us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=16, fake노드=0
    [CULL] maxLevel=5, 시간=189.5us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=36, fake노드=0
    [CULL] maxLevel=5, 시간=232.5us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=44, fake노드=0
    [CULL 평균] maxLevel=5, m_minNodePixels=8.0 평균시간=1997.9us (60프레임), 방문노드=64, 객체검사=3427
    [CULL] maxLevel=5, 시간=179.2us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=94, fake노드=0
    [CULL] maxLevel=5, 시간=214.3us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=264, fake노드=0
    [CULL] maxLevel=5, 시간=239.1us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=536, fake노드=0
    2200 스레드가 종료되었습니다(코드: 0 (0x0)).
    [CULL] maxLevel=5, 시간=304.6us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=950, fake노드=0
    [CULL] maxLevel=5, 시간=254.3us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=1473, fake노드=0
    [CULL] maxLevel=5, 시간=350.9us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=1732, fake노드=0
    [CULL] maxLevel=5, 시간=314.0us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=3491, 객체검사=3427, 렌더객체=2147, fake노드=0
    [CULL] maxLevel=5, 시간=542.8us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=9845, 객체검사=9781, 렌더객체=2843, fake노드=0
    [CULL] maxLevel=5, 시간=698.0us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=9845, 객체검사=9781, 렌더객체=3652, fake노드=0
    [CULL] maxLevel=5, 시간=842.6us, m_minNodePixels=8.0, 방문노드=64, 절두체판정=9845, 객체검사=9781, 렌더객체=4618, fake노드=0
    [CULL] maxLevel=5, 시간=1540.8us, m_minNodePixels=8.0, 방문노드=67, 절두체판정=27937, 객체검사=27873, 렌더객체=5932, fake노드=0
    [CULL] maxLevel=5, 시간=1923.3us, m_minNodePixels=8.0, 방문노드=67, 절두체판정=27937, 객체검사=27873, 렌더객체=7624, fake노드=0
    [CULL] maxLevel=5, 시간=2152.3us, m_minNodePixels=8.0, 방문노드=67, 절두체판정=27937, 객체검사=27873, 렌더객체=10721, fake노드=0
    [CULL] maxLevel=5, 시간=2478.9us, m_minNodePixels=8.0, 방문노드=67, 절두체판정=27937, 객체검사=27873, 렌더객체=15861, fake노드=0
    [CULL] maxLevel=5, 시간=2753.4us, m_minNodePixels=8.0, 방문노드=87, 절두체판정=46436, 객체검사=46356, 렌더객체=22690, fake노드=0
    [CULL] maxLevel=5, 시간=2914.0us, m_minNodePixels=8.0, 방문노드=87, 절두체판정=46436, 객체검사=46356, 렌더객체=30694, fake노드=0
    [CULL] maxLevel=5, 시간=3162.8us, m_minNodePixels=8.0, 방문노드=87, 절두체판정=46436, 객체검사=46356, 렌더객체=39961, fake노드=0
    [CULL] maxLevel=5, 시간=4828.1us, m_minNodePixels=8.0, 방문노드=115, 절두체판정=62067, 객체검사=61971, 렌더객체=49859, fake노드=0
    [CULL] maxLevel=5, 시간=3596.3us, m_minNodePixels=8.0, 방문노드=123, 절두체판정=75637, 객체검사=75541, 렌더객체=66735, fake노드=0
    [CULL] maxLevel=5, 시간=4664.5us, m_minNodePixels=8.0, 방문노드=123, 절두체판정=75637, 객체검사=75541, 렌더객체=86820, fake노드=0
    [CULL] maxLevel=5, 시간=4913.0us, m_minNodePixels=8.0, 방문노드=123, 절두체판정=75637, 객체검사=75541, 렌더객체=109327, fake노드=0
    [CULL] maxLevel=5, 시간=5458.0us, m_minNodePixels=8.0, 방문노드=166, 절두체판정=78274, 객체검사=78147, 렌더객체=132017, fake노드=0
    [CULL] maxLevel=5, 시간=4429.4us, m_minNodePixels=8.0, 방문노드=182, 절두체판정=67137, 객체검사=67010, 렌더객체=156940, fake노드=0
